rank,nome,avaliacao
1,Gloomhaven,8.69
2,Brass: Birmingham,8.66
3,Pandemic Legacy: Season 1,8.57
4,Ark Nova,8.60
5,Terraforming Mars,8.40
6,Gloomhaven: Jaws of the Lion,8.57
7,Twilight Imperium: Fourth Edition,8.64
8,Star Wars: Rebellion,8.42
9,Gaia Project,8.44
10,War of the Ring: Second Edition,8.52
11,Spirit Island,8.37
12,Through the Ages: A New Story of Civilization,8.35
13,Great Western Trail,8.27
14,Twilight Struggle,8.27
15,Dune: Imperium,8.35
16,Scythe,8.19
17,The Castles of Burgundy,8.13
18,Nemesis,8.34
19,7 Wonders Duel,8.10
20,Brass: Lancashire,8.19
21,Concordia,8.12
22,A Feast for Odin,8.19
23,Terra Mystica,8.10
24,Wingspan,8.08
25,Clank!: Legacy – Acquisitions Incorporated,8.63
26,Eclipse: Second Dawn for the Galaxy,8.56
27,Arkham Horror: The Card Game,8.15
28,Root,8.09
29,Orléans,8.07
30,Viticulture Essential Edition,8.03
31,Everdell,8.08
32,Lost Ruins of Arnak,8.09
33,Mage Knight Board Game,8.09
34,Food Chain Magnate,8.10
35,Barrage,8.21
36,Marvel Champions: The Card Game,8.18
37,Puerto Rico,7.95
38,Too Many Bones,8.39
39,Caverna: The Cave Farmers,7.99
40,Blood Rage,7.97
41,Pax Pamir: Second Edition,8.30
42,Agricola,7.91
43,Underwater Cities,8.09
44,The Crew: Mission Deep Sea,8.32
45,Anachrony,8.10
46,Maracaibo,8.12
47,Mansions of Madness: Second Edition,7.99
48,Pandemic Legacy: Season 2,8.07
49,On Mars,8.23
50,The Crew: The Quest for Planet Nine,7.90
51,Tzolk'in: The Mayan Calendar,7.88
52,Power Grid,7.83
53,Cascadia,8.01
54,Clans of Caledonia,7.97
55,Crokinole,7.98
56,Star Wars: Imperial Assault,7.98
57,Le Havre,7.86
58,Lisboa,8.20
59,Pandemic Legacy: Season 0,8.51
60,Kingdom Death: Monster,8.55
61,Mechs vs. Minions,8.00
62,The Quacks of Quedlinburg,7.85
63,The Gallerist,8.04
64,Paladins of the West Kingdom,8.01
65,Azul,7.78
66,Android: Netrunner,7.88
67,Eclipse,7.86
68,Aeon's End,7.97
69,Great Western Trail (Second Edition),8.51
70,Through the Ages: A Story of Civilization,7.88
71,Race for the Galaxy,7.75
72,Clank!: A Deck-Building Adventure,7.81
73,The 7th Continent,7.95
74,Five Tribes,7.78
75,Fields of Arle,8.06
76,Grand Austria Hotel,7.90
77,Kanban EV,8.51
78,Agricola (Revised Edition),7.98
79,Teotihuacan: City of Gods,7.90
80,Robinson Crusoe: Adventures on the Cursed Island,7.79
81,The Voyages of Marco Polo,7.82
82,Sleeping Gods,8.42
83,7 Wonders,7.71
84,Lords of Waterdeep,7.74
85,Dominant Species,7.82
86,Tainted Grail: The Fall of Avalon,8.18
87,Architects of the West Kingdom,7.78
88,El Grande,7.74
89,Keyflower,7.76
90,Caylus,7.74
91,Battlestar Galactica: The Board Game,7.73
92,Beyond the Sun,7.99
93,Mombasa,7.87
94,Dominion: Intrigue,7.70
95,Troyes,7.73
96,Raiders of the North Sea,7.76
97,The Lord of the Rings: Journeys in Middle-Earth,7.97
98,Eldritch Horror,7.77
99,Twilight Imperium: Third Edition,7.81
100,Lorenzo il Magnifico,7.87
101,Tigris & Euphrates,7.70
102,Decrypto,7.78
103,Cthulhu: Death May Die,8.14
104,Inis,7.82
105,Russian Railroads,7.75
106,Patchwork,7.62
107,The Isle of Cats,7.82
108,Rising Sun,7.81
109,Trajan,7.75
110,Trickerion: Legends of Illusion,7.96
111,Dominion,7.60
112,Clank! In! Space!: A Deck-Building Adventure,7.83
113,The Search for Planet X,8.06
114,Aeon's End: War Eternal,8.33
115,Codenames,7.57
116,Obsession,8.27
117,Roll for the Galaxy,7.63
118,Pandemic: Iberia,7.90
119,Yokohama,7.83
120,Vinhos: Deluxe Edition,8.14
121,Champions of Midgard,7.74
122,Cartographers,7.67
123,Forbidden Stars,7.97
124,Pandemic,7.57
125,Res Arcana,7.72
126,PARKS,7.73
127,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.68
128,Kemet,7.69
129,Age of Steam,7.81
130,Hansa Teutonica,7.71
131,Watergate,7.86
132,Targi,7.64
133,Concordia Venus,8.31
134,Endeavor: Age of Sail,7.94
135,Alchemists,7.66
136,Star Realms,7.57
137,Legendary Encounters: An Alien Deck Building Game,7.77
138,It's a Wonderful World,7.75
139,The Quest for El Dorado,7.64
140,Stone Age,7.54
